+----------------+---------------------+------+----------------------------------------------------------------+-----------------------+-----------------------+
| unix_timestamp | timestamp           | name | filename                                                       | image_shift_x         | image_shift_y         |
|     1571467568 | 2019-10-18 23:46:08 | en   | 19oct18b_AC39_3_good_00039gr_00001sq_v03_00003hl_2_v01_00006en |   2.2119005931771e-06 | -1.64174700154796e-07 |
|     1571467646 | 2019-10-18 23:47:26 | en   | 19oct18b_AC39_3_good_00039gr_00001sq_v03_00003hl_2_v01_00007en |   2.8090716883401e-06 | -7.89123361430347e-07 |
|     1571467726 | 2019-10-18 23:48:46 | en   | 19oct18b_AC39_3_good_00039gr_00001sq_v03_00003hl_2_v01_00008en |  3.62041431918241e-06 | -1.44144661451456e-07 |
|     1571467807 | 2019-10-18 23:50:07 | en   | 19oct18b_AC39_3_good_00039gr_00001sq_v03_00003hl_2_v01_00009en |  2.85468762614769e-06 |  5.42875746084643e-07 |
|     1571467887 | 2019-10-18 23:51:27 | en   | 19oct18b_AC39_3_good_00039gr_00001sq_v03_00003hl_2_v01_00010en |  6.26967538146627e-07 |  2.62931830877699e-06 |
|     1571467967 | 2019-10-18 23:52:47 | en   | 19oct18b_AC39_3_good_00039gr_00001sq_v03_00003hl_2_v01_00011en | -1.33431293835321e-07 |  3.23959057350448e-06 |
|     1571468045 | 2019-10-18 23:54:05 | en   | 19oct18b_AC39_3_good_00039gr_00001sq_v03_00003hl_2_v01_00012en |  5.31931857380455e-07 |  3.97737483159594e-06 |
|     1571468123 | 2019-10-18 23:55:23 | en   | 19oct18b_AC39_3_good_00039gr_00001sq_v03_00003hl_2_v01_00013en |   1.2014263020981e-06 |  3.52500165441136e-06 |
|     1571468203 | 2019-10-18 23:56:43 | en   | 19oct18b_AC39_3_good_00039gr_00001sq_v03_00003hl_2_v01_00014en | -2.24892902832847e-06 |  1.51098555268059e-06 |
|     1571468282 | 2019-10-18 23:58:02 | en   | 19oct18b_AC39_3_good_00039gr_00001sq_v03_00003hl_2_v01_00015en |  -3.0924398839207e-06 |  1.97846647532684e-06 |
|     1571468362 | 2019-10-18 23:59:22 | en   | 19oct18b_AC39_3_good_00039gr_00001sq_v03_00003hl_2_v01_00016en | -3.85270250293629e-06 |  1.03737292129238e-06 |
|     1571468440 | 2019-10-19 00:00:40 | en   | 19oct18b_AC39_3_good_00039gr_00001sq_v03_00003hl_2_v01_00017en | -2.91542390162823e-06 |  5.59187055110159e-07 |
|     1571468520 | 2019-10-19 00:02:00 | en   | 19oct18b_AC39_3_good_00039gr_00001sq_v03_00003hl_2_v01_00018en |  4.35371340559951e-06 | -3.31628565831629e-06 |
|     1571468624 | 2019-10-19 00:03:44 | en   | 19oct18b_AC39_3_good_00039gr_00001sq_v04_00004hl_2_v01_00002en | -3.23002300594144e-06 |  1.22984300316203e-07 |
|     1571468704 | 2019-10-19 00:05:04 | en   | 19oct18b_AC39_3_good_00039gr_00001sq_v04_00004hl_2_v01_00003en | -3.23002300594144e-06 |  1.22984300316203e-07 |
|     1571468784 | 2019-10-19 00:06:24 | en   | 19oct18b_AC39_3_good_00039gr_00001sq_v04_00004hl_2_v01_00004en | -2.49319906233856e-06 | -6.08323872134794e-07 |
|     1571468864 | 2019-10-19 00:07:44 | en   | 19oct18b_AC39_3_good_00039gr_00001sq_v04_00004hl_2_v01_00005en | -1.73133775890551e-06 |  1.42237442820136e-07 |
|     1571468943 | 2019-10-19 00:09:03 | en   | 19oct18b_AC39_3_good_00039gr_00001sq_v04_00004hl_2_v01_00006en | -2.47175792719361e-06 |  8.83473662607707e-07 |
|     1571469022 | 2019-10-19 00:10:22 | en   | 19oct18b_AC39_3_good_00039gr_00001sq_v04_00004hl_2_v01_00007en |  2.50499747951046e-07 |  2.51901455004832e-06 |
|     1571469102 | 2019-10-19 00:11:42 | en   | 19oct18b_AC39_3_good_00039gr_00001sq_v04_00004hl_2_v01_00008en |  1.09101429314164e-06 |  1.78062733978765e-06 |
|     1571469184 | 2019-10-19 00:13:04 | en   | 19oct18b_AC39_3_good_00039gr_00001sq_v04_00004hl_2_v01_00009en |   1.7959359158948e-06 |  2.40920307717678e-06 |
|     1571469264 | 2019-10-19 00:14:24 | en   | 19oct18b_AC39_3_good_00039gr_00001sq_v04_00004hl_2_v01_00010en |   1.1681304349324e-06 |  3.05668406900948e-06 |
|     1571469345 | 2019-10-19 00:15:45 | en   | 19oct18b_AC39_3_good_00039gr_00001sq_v04_00004hl_2_v01_00011en |  4.00959533248961e-06 |  4.85944796877308e-06 |
|     1571469425 | 2019-10-19 00:17:05 | en   | 19oct18b_AC39_3_good_00039gr_00001sq_v04_00004hl_2_v01_00012en |  4.23489281362419e-06 |  3.89625460348237e-06 |
